NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
1,Brasil,30,Número-índice,101.69034,1,Brasil,202210,outubro 2022,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,106.50410,1,Brasil,202211,novembro 2022,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,124.48386,1,Brasil,202212,dezembro 2022,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,97.92406,1,Brasil,202301,janeiro 2023,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,91.34638,1,Brasil,202302,fevereiro 2023,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,102.72581,1,Brasil,202303,março 2023,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,100.80088,1,Brasil,202304,abril 2023,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,102.53109,1,Brasil,202305,maio 2023,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,100.23315,1,Brasil,202306,junho 2023,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,103.36386,1,Brasil,202307,julho 2023,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,103.80389,1,Brasil,202308,agosto 2023,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,102.00875,1,Brasil,202309,setembro 2023,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,103.56042,1,Brasil,202310,outubro 2023,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
